date,name,url

w1/0307/1,语法,https://alicache.gensee.com/gsgetrecord/record47.gensee.net/gsrecord/16042/sbr/2020_03_07/t7WJ0TG4US_1583542786/record125.xml

w1/0307/2,阅读,https://alicache.gensee.com/gsgetrecord/record47.gensee.net/gsrecord/16042/sbr/2020_03_07/t7WJ0TG4US_1583560645/record126.xml

w1/0308/1,口语,https://alicache.gensee.com/gsgetrecord/record47.gensee.net/gsrecord/16042/sbr/2020_03_08/t7WJ0TG4US_1583629210/record122.xml

w1/0308/2,写作,https://alicache.gensee.com/gsgetrecord/record46.gensee.net/gsrecord/16042/sbr/2020_03_08/t7WJ0TG4US_1583647124/record70.xml

w2/0314/1,口语,https://alicache.gensee.com/gsgetrecord/record47.gensee.net/gsrecord/16042/sbr/2020_03_14/t7WJ0TG4US_1584147644/record48.xml

w2/0314/2,听力,https://alicache.gensee.com/gsgetrecord/record38.gensee.net/gsrecord/16042/sbr/2020_03_14/t7WJ0TG4US_1584165609/record232.xml

w2/0315/1,词汇,https://alicache.gensee.com/gsgetrecord/record46.gensee.net/gsrecord/16042/sbr/2020_03_15/t7WJ0TG4US_1584234015/record186.xml

w2/0315/2,写作,https://alicache.gensee.com/gsgetrecord/record42.gensee.net/gsrecord/16042/sbr/2020_03_15/t7WJ0TG4US_1584250579/record22.xml

w3/0321/1,口语,https://alicache.gensee.com/gsgetrecord/record46.gensee.net/gsrecord/16042/sbr/2020_03_21/t7WJ0TG4US_1584752422/record228.xml

w3/0321/2,阅读,https://alicache.gensee.com/gsgetrecord/record42.gensee.net/gsrecord/16042/sbr/2020_03_21/t7WJ0TG4US_1584770314/record96.xml

w3/0322/1,语法,https://alicache.gensee.com/gsgetrecord/record42.gensee.net/gsrecord/16042/sbr/2020_03_22/t7WJ0TG4US_1584838786/record121.xml

w3/0322/2,听力,https://alicache.gensee.com/gsgetrecord/record47.gensee.net/gsrecord/16042/sbr/2020_03_22/t7WJ0TG4US_1584856789/record8.xml

w4/0328/1,写作,https://alicache.gensee.com/gsgetrecord/record43.gensee.net/gsrecord/16042/sbr/2020_03_28/t7WJ0TG4US_1585357181/record214.xml

w4/0328/2,老师请假,https://baidu.com/aaa/aaa

w4/0329/1,词汇,https://alicache.gensee.com/gsgetrecord/record38.gensee.net/gsrecord/16042/sbr/2020_03_29/t7WJ0TG4US_1585443592/record169.xml

w4/0329/2,听力,https://alicache.gensee.com/gsgetrecord/record46.gensee.net/gsrecord/16042/sbr/2020_03_29/t7WJ0TG4US_1585461625/record229.xml

w4/0404/2,口语 补,https://alicache.gensee.com/gsgetrecord/record47.gensee.net/gsrecord/16042/sbr/2020_04_04/t7WJ0TG4US_1585980008/record135.xml

w5/0411/1,语法,https://alicache.gensee.com/gsgetrecord/record47.gensee.net/gsrecord/16042/sbr/2020_04_11/t7WJ0TG4US_1586566801/record200.xml

w5/0411/2,口语,https://alicache.gensee.com/gsgetrecord/record37.gensee.net/gsrecord/16042/sbr/2020_04_11/t7WJ0TG4US_1586584835/record82.xml

w5/0412/1,阅读,https://alicache.gensee.com/gsgetrecord/record38.gensee.net/gsrecord/16042/sbr/2020_04_12/t7WJ0TG4US_1586653181/record155.xml

w5/0412/2,听力,https://alicache.gensee.com/gsgetrecord/record47.gensee.net/gsrecord/16042/sbr/2020_04_12/t7WJ0TG4US_1586671642/record51.xml

w6/0418/1,阅读,https://alicache.gensee.com/gsgetrecord/record42.gensee.net/gsrecord/16042/sbr/2020_04_18/t7WJ0TG4US_1587171611/record18.xml

w6/0418/2,写作,https://alicache.gensee.com/gsgetrecord/record49.gensee.net/gsrecord/16042/sbr/2020_04_18/t7WJ0TG4US_1587189639/record89.xml

w6/0419/1,口语,https://alicache.gensee.com/gsgetrecord/record48.gensee.net/gsrecord/16042/sbr/2020_04_19/t7WJ0TG4US_1587258020/record84.xml

w6/0419/2,听力,https://alicache.gensee.com/gsgetrecord/record43.gensee.net/gsrecord/16042/sbr/2020_04_19/t7WJ0TG4US_1587275997/record206.xml
